Vakances Nr,Aktualizācijas datums,Iestādes reģistrācijas numurs,Vakances nosaukums,Vakances kategorija,Alga no,Alga līdz,Slodzes tips,Darba laika veids,Darba stundas nedēļā,Pieteikšanās termiņš,Attēls,Vieta,Vakances paplašināts apraksts
220425-87,2022-04-25,90000035266,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,3.620,3.620,Viena vesela slodze,Summētais darba laiks,"",2022-05-06,"","Salmu iela 53, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/320413204
220427-105,2022-04-27,90000025357,Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS/ KOMANDIERIS (izglītības jomā),Būvniecība / Nekustamais īpašums,1300.000,1800.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-06,"","Gaiziņa iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320652321
220427-112,2022-04-27,90000025357,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,830.000,1200.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-31,"","Gaiziņa iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320654335
220427-143,2022-04-27,90000025357,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Būvniecība / Nekustamais īpašums,830.000,1200.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-31,"","Gaiziņa iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320669670
220427-142,2022-04-27,90000025357,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Būvniecība / Nekustamais īpašums,830.000,1200.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-31,"","Gaiziņa iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320668655
220427-141,2022-04-27,90000025357,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,830.000,1200.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-31,"","Rīgas Celtniecības koledža Gaiziņa iela 3, Rīga LV-1050",https://cvvp.nva.gov.lv/#/pub/vakances/320667206
220427-137,2022-04-27,90000025357,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,830.000,1200.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-31,"","Gaiziņa iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320666615
220427-146,2022-04-27,90000025357,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Būvniecība / Nekustamais īpašums,830.000,1200.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-31,"","Gaiziņa iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320670199
220427-135,2022-04-27,90000025357,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,830.000,1200.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-31,"","Gaiziņa iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320666133
220427-133,2022-04-27,90000025357,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,830.000,1200.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-31,"","Rīgas Celtniecības koledža Gaiziņa iela 3, Rīga LV-1050",https://cvvp.nva.gov.lv/#/pub/vakances/320665429
220428-71,2022-04-28,44103058086,SAIMNIECĪBAS PĀRZINIS,Veselības aprūpe / Sociālā aprūpe,560.000,560.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-05,"","Vidzemes iela 2, Balvi, Balvu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320749321
220427-156,2022-04-27,90000025357,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Būvniecība / Nekustamais īpašums,830.000,1200.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-31,"","Gaiziņa iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320672548
220427-153,2022-04-27,90000025357,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Būvniecība / Nekustamais īpašums,830.000,1200.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-31,"","Gaiziņa iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320672063
220427-151,2022-04-27,90000025357,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Būvniecība / Nekustamais īpašums,830.000,1200.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-31,"","Gaiziņa iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320671137
220407-237,2022-05-02,90000057795,MEŽA UGUNSNOVĒROŠANAS TORŅA DEŽURANTS,Cita,540.000,540.000,"","","",2022-05-15,"",Jēkabpils nov.,https://cvvp.nva.gov.lv/#/pub/vakances/319352174
220421-275,2022-04-29,48503007414,SANTEHNIĶIS,Pakalpojumi,850.000,850.000,"","","",2022-05-13,"","Skolas iela 21A, Brocēni, Saldus nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320234609
220421-242,2022-04-29,48503007414,TRAKTORTEHNIKAS VADĪTĀJS,Pakalpojumi,700.000,750.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-13,"",Saldus nov.,https://cvvp.nva.gov.lv/#/pub/vakances/320223909
220421-236,2022-04-29,48503007414,LABIEKĀRTOŠANAS STRĀDNIEKS,Pakalpojumi,550.000,650.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-13,"",Saldus nov.,https://cvvp.nva.gov.lv/#/pub/vakances/320222759
220412-203,2022-04-25,41203035896,PALĪGSTRĀDNIEKS,Pakalpojumi,600.000,600.000,"","","",2022-05-13,"","Ezeru laukums 2, Talsi, Talsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319694871
220429-207,2022-04-29,41203035896,PALĪGSTRĀDNIEKS,Pakalpojumi,1000.000,1000.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-18,"","Ezeru laukums 2, Talsi, Talsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320939219
220325-156,2022-05-02,45103000466,SEZONAS STRĀDNIEKS,Cita,1000.000,1000.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-25,"","Spodrības iela 2, Dobele, Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/318423092
210706-105,2022-03-25,90000057013,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,158.000,160.000,Nepilna slodze,"",8,2022-05-25,"","Sporta iela 3, Uzvara, Gailīšu pag., Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/299505344
211028-5,2022-03-25,90000057013,REMONTSTRĀDNIEKS,Cita,522.000,522.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-25,"","Sporta iela 3, Uzvara, Gailīšu pag., Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/307968762
220426-179,2022-04-26,2719902518,PIRMSSKOLAS IESTĀŽU UN SKOLU MĀSA,Veselības aprūpe / Sociālā aprūpe,791.000,791.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-30,"","Cietokšņa iela 33, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/320570048
220427-145,2022-04-27,90009202489,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1050.000,1050.000,"","","",2022-05-31,"","Baznīcas iela 1, Jaunolaine, Olaines pag., Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320670144
220413-148,2022-05-02,47403003224,SĒTNIEKS,Cita,525.000,525.000,Viena vesela slodze,Normālais darba laiks,40,2022-06-03,"","Lielvārde, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319796465
220405-102,2022-04-27,90009756700,SABIEDRĪBAS VESELĪBAS ORGANIZATORS,Valsts pārvalde,675.000,996.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-31,"","Leona Paegles iela 9, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319097034
220225-134,2022-04-27,90009756700,VESELĪBAS VEICINĀŠANAS KOORDINĒTĀJS,Valsts pārvalde,835.000,1190.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-31,"","Duntes iela 22 k-5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316708923
220322-182,2022-04-27,90009756700,SABIEDRĪBAS VESELĪBAS ANALĪTIĶIS,Valsts pārvalde,835.000,1190.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-31,"","Duntes iela 20 k-3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/318171733
220207-55,2022-04-27,90009756700,EPIDEMIOLOGS,Valsts pārvalde,835.000,1190.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-31,"","Duntes iela 20 k-3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/315542759
220328-4,2022-04-27,90009756700,SABIEDRĪBAS VESELĪBAS ORGANIZATORS,Valsts pārvalde,675.000,996.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-31,"","Brīvības iela 258A, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/318449725
220407-215,2022-04-07,90000057795,SPECIALIZĒTĀ /AUTOMOBIĻA VADĪTĀJS,Transports / Loģistika,570.000,570.000,Viena vesela slodze,"","",2022-05-06,"",Aizkraukles nov.,https://cvvp.nva.gov.lv/#/pub/vakances/319344196
220407-240,2022-04-07,90000057795,MEŽA UGUNSNOVĒROŠANAS TORŅA DEŽURANTS,Cita,540.000,540.000,"","","",2022-05-07,"",Aizkraukles nov.,https://cvvp.nva.gov.lv/#/pub/vakances/319352679
220407-221,2022-04-07,90000057795,MEŽA UGUNSDZĒSĒJS,Transports / Loģistika,550.000,550.000,Viena vesela slodze,"","",2022-05-07,"",Aizkraukles nov.,https://cvvp.nva.gov.lv/#/pub/vakances/319346249
220421-341,2022-04-22,90000057795,VECĀKAIS REFERENTS,Valsts pārvalde,835.000,1190.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","13. janvāra iela 15, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320253570
220503-38,2022-05-03,90000151859,Pamatdarbības atbalsta struktūrvienības VADĪTĀJS/ DIREKTORS,Vadība / Administrēšana,1253.000,1647.000,"","","",2022-05-16,"","Ventspils iela 53, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321150150
220419-112,2022-04-19,90000057795,MEŽZINIS,Valsts pārvalde,835.000,1070.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Mazsalacas pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319961730
220419-113,2022-04-19,90000057795,MEŽZINIS,Valsts pārvalde,835.000,1070.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Jeru pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319962070
220419-119,2022-04-19,90000057795,MEŽZINIS,Valsts pārvalde,835.000,1070.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Valkas pag., Valkas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319963177
220419-118,2022-04-19,90000057795,MEŽZINIS,Valsts pārvalde,835.000,1070.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Ķoņu pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319962649
220419-121,2022-04-19,90000057795,MEŽZINIS,Valsts pārvalde,835.000,1070.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Kārķu pag., Valkas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319963612
220425-81,2022-04-29,90000057795,MEŽZINIS,Valsts pārvalde,835.000,1070.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Līgatne, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320410390
220427-168,2022-04-27,90000057795,VIRSMEŽNIECĪBAS INŽENIERIS,Valsts pārvalde,835.000,1170.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Raiņa iela 17, Talsi, Talsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320677714
220427-157,2022-04-27,90000057795,VIRSMEŽNIECĪBAS INŽENIERIS,Valsts pārvalde,835.000,1170.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Krišjāņa Valdemāra iela 7, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/320672666
220427-180,2022-04-28,90000057795,MEŽZINIS,Valsts pārvalde,835.000,1070.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Dundagas pag., Talsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320681404
220427-186,2022-04-27,90000057795,MEŽZINIS,Valsts pārvalde,835.000,1070.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Zlēkas, Zlēku pag., Ventspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320681872
220427-199,2022-04-28,90000057795,MEŽZINIS,Valsts pārvalde,835.000,1070.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Rugāju pag., Balvu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320685247
220426-257,2022-04-27,90002448818,VECĀKAIS REFERENTS,Valsts pārvalde,835.000,1190.000,Viena vesela slodze,"","",2022-05-25,"","Klijānu iela 7, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320589494
220427-191,2022-04-28,90000057795,MEŽZINIS,Valsts pārvalde,835.000,1070.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Rugāju pag., Balvu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320682701
220427-193,2022-04-28,90000057795,MEŽZINIS,Valsts pārvalde,835.000,1070.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Lazdukalna pag., Balvu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320684305
220427-175,2022-04-29,90000057795,MEŽZINIS,Valsts pārvalde,835.000,1070.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Abavas pag., Talsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320680203
220413-146,2022-04-13,90001474442,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,570.000,570.000,Viena vesela slodze,"","",2022-05-20,"","Jaunā Muiža, Kūku pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319795953
220421-307,2022-04-21,90011543130,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJA VIETNIEKS /DIREKTORA VIETNIEKS (VALSTS PĀRVALDES JOMĀ),Valsts pārvalde,842.000,1382.000,"","","",2022-05-05,"","Riharda Vāgnera iela 5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320245885
220216-144,2022-04-25,90001474442,MĀSA (MEDICĪNAS MĀSA),Veselības aprūpe / Sociālā aprūpe,870.000,870.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-20,"","Jaunā Muiža, Kūku pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/316160600
220201-134,2022-04-25,90001474442,MASIERIS (TREŠĀ LĪMEŅA KVALIFIKĀCIJA),Veselības aprūpe / Sociālā aprūpe,885.000,885.000,"","","",2022-05-20,"","Jaunā Muiža, Kūku pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/315193826
220407-10,2022-05-02,90000069281,GALVENAIS NODOKĻU INSPEKTORS,Valsts pārvalde,1126.000,1308.000,"","","",2022-05-06,"","Atmodas iela 19, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/319269239
220426-145,2022-04-26,40003273900,FIZIKĀLĀS UN REHABILITĀCIJAS MEDICĪNAS ĀRSTS,Veselības aprūpe / Sociālā aprūpe,494.000,494.000,Nepilna slodze,Nepilnais darba laiks,12,2022-05-06,"","Ventspils iela 53, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320549759
220426-146,2022-04-26,40003273900,FIZIOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,1190.000,1523.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-06,"","Ventspils iela 53, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320549814
220426-144,2022-04-26,40003273900,PREČZINIS,Cita,950.000,950.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-06,"","Ventspils iela 53, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320549651
220408-157,2022-04-11,40003080597,ELEKTROMONTIERIS,Elektronika / Enerģētika / Elektroenerģija,560.000,560.000,Viena vesela slodze,"","",2022-05-06,"","Zaķusalas krastmala 33, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319433326
220502-55,2022-05-02,40003080597,AUKLIS,Pakalpojumi,3.880,3.880,"","","",2022-05-20,"","Zaķusalas krastmala 33, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321010716
220503-449,2022-05-03,40003080597,ŽURNĀLISTS,Pakalpojumi,1000.000,1400.000,Viena vesela slodze,"","",2022-05-31,"","Zaķusalas krastmala 33, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321225662
220420-2,2022-04-20,90011585219,FIZIOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,525.000,525.000,Nepilna slodze,Summētais darba laiks,"",2022-05-06,"","Hipokrāta iela 6, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320035889
220310-249,2022-05-02,40003033696,LOPKOPĒJS,Lauksaimniecība / Vide,800.000,1200.000,"","","",2022-05-30,"","Akadēmijas iela 11A, Vecauce, Vecauces pag., Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317458636
220310-246,2022-05-02,40003033696,ELEKTRIĶIS,Lauksaimniecība / Vide,800.000,1200.000,"","","",2022-05-31,"","Akadēmijas iela 11A, Vecauce, Vecauces pag., Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317458398
220310-248,2022-05-02,40003033696,TRAKTORTEHNIKAS VADĪTĀJS,Lauksaimniecība / Vide,800.000,1200.000,"","","",2022-05-30,"","Akadēmijas iela 11A, Vecauce, Vecauces pag., Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317458578
220310-251,2022-05-02,40003033696,MEHANIZĒTĀS SLAUKŠANAS OPERATORS,Lauksaimniecība / Vide,800.000,1200.000,"","","",2022-05-30,"","Akadēmijas iela 11A, Vecauce, Vecauces pag., Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317458689
220408-200,2022-04-08,90011585223,PERSONĀLA SPECIĀLISTS,Cita,770.000,770.000,Nepilna slodze,"","",2022-05-31,"","Birzes iela 54, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319456163
220121-42,2022-03-30,90011585223,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1090.000,1090.000,Viena vesela slodze,"","",2022-06-30,"","Birzes iela 54, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/314537005
220121-51,2022-03-30,90011585223,VECĀKĀ MEDICĪNAS MĀSA,Veselības aprūpe / Sociālā aprūpe,1382.000,1382.000,Viena vesela slodze,"","",2022-06-30,"","Birzes iela 54, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/314540992
220124-150,2022-03-30,90011585223,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (PILNGADĪGO SOCIĀLĀS APRŪPES UN SOCIĀLĀS REHABILITĀCIJAS JOMĀ),Veselības aprūpe / Sociālā aprūpe,1382.000,1382.000,Viena vesela slodze,"","",2022-06-30,"","Birzes iela 54, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/314666065
220222-92,2022-03-30,90011585223,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,650.000,650.000,Viena vesela slodze,"","",2022-06-30,"","Birzes iela 54, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316449076
220429-192,2022-04-29,90009117568,EKSPERTS,Cita,964.000,964.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-10,"","Rīgas iela 2, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/320934200
220405-99,2022-04-05,90009222536,PĀRVALDES VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Valsts pārvalde,1458.000,1917.000,"","","",2022-05-04,"","Krišjāņa Valdemāra iela 10/12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319096252
220421-288,2022-04-21,90009222536,JURISTS,Jurisprudence / Tieslietas,940.000,1287.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-23,"","Krišjāņa Valdemāra iela 10/12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320238525
220426-149,2022-04-26,90009222536,Jaunsargu INSTRUKTORS,Valsts pārvalde,1052.000,1382.000,Viena vesela slodze,"","",2022-06-19,"","Krišjāņa Valdemāra iela 10/12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320550621
220426-171,2022-04-26,90009222536,Jaunsargu INSTRUKTORS,Izglītība / Zinātne,1052.000,1382.000,Viena vesela slodze,"","",2022-06-19,"","Meža prospekts 13, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320564239
220426-170,2022-04-26,90009222536,Jaunsargu INSTRUKTORS,Izglītība / Zinātne,1052.000,1382.000,Viena vesela slodze,"","",2022-06-19,"","Mālkalnes prospekts 43, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320563497
220315-256,2022-04-27,50003408181,MĀSA (MEDICĪNAS MĀSA),Veselības aprūpe / Sociālā aprūpe,7.920,7.920,Viena vesela slodze,Maiņu darbs,"",2022-05-12,"","Valkas iela 11, Strenči, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317745747
220315-297,2022-04-27,50003408181,PSIHIATRS,Veselības aprūpe / Sociālā aprūpe,2123.000,2314.000,Viena vesela slodze,"","",2022-05-12,"","Valkas iela 11, Strenči, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317751422
220421-24,2022-04-21,90010643967,VECĀKAIS INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1553.000,1938.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-31,"","Krišjāņa Valdemāra iela 1A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320153934
220128-64,2022-04-25,90009172979,PIRMSSKOLAS IESTĀŽU UN SKOLU MĀSA,Izglītība / Zinātne,132.000,132.000,"","","",2022-05-20,"","Vīpes skola, Vīpes pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/314987786
220427-179,2022-04-27,90001262812,BŪVINSPEKTORS,Valsts pārvalde,1500.000,1500.000,"","","",2022-05-31,"","Līvzemes iela 8, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320681239
220404-8,2022-04-19,90000086008,VECĀKAIS EKSPERTS,Valsts pārvalde,1190.000,1350.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-04,"","Brīvības iela 55, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/318961487
220427-196,2022-04-27,90000086008,EKSPERTS,Valsts pārvalde,1050.000,1382.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-23,"","Brīvības iela 55, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320684893
220502-5,2022-05-02,90000086008,VECĀKAIS EKSPERTS,Valsts pārvalde,1253.000,1440.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-17,"","Brīvības iela 55, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320982430
220503-15,2022-05-03,90000086008,PADOMES LOCEKLIS,Valsts pārvalde,2900.000,2900.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-22,"","Brīvības iela 55, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321136707
220407-13,2022-04-07,90000069281,GALVENAIS NODOKĻU INSPEKTORS,Valsts pārvalde,966.000,1308.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-06,"","Talejas iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319270381
220422-5,2022-04-22,90000069281,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (INFORMĀCIJAS UN KOMUNIKĀCIJAS TEHNOLOĢIJU JOMĀ),Valsts pārvalde,1394.000,2112.000,"","","",2022-05-19,"","Talejas iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320258919
220425-267,2022-04-26,90009649337,INFORMĀCIJAS SISTĒMU ADMINISTRATORS,Valsts pārvalde,1100.000,1917.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-09,"","Cēsu iela 31 k-3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320475042
220429-194,2022-04-29,90009649337,PROJEKTA VADĪTĀJS,Pakalpojumi,1253.000,1647.000,"","","",2022-05-15,"","Cēsu iela 31 k-3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320934608
220429-191,2022-04-29,90009649337,SISTĒMANALĪTIĶIS,Pakalpojumi,940.000,1287.000,"","","",2022-05-15,"","Cēsu iela 31 k-3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320934076
220106-131,2022-04-07,45403003245,AUTOBUSA VADĪTĀJS,Transports / Loģistika,800.000,960.000,"",Summētais darba laiks,"",2022-05-27,"","Akurāteri, Salas pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/313442363
220406-175,2022-04-20,40900030337,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1000.000,1000.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-31,"","Tautas iela 59, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/319238846
220420-121,2022-04-20,40900030337,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1050.000,1050.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-30,"","Tautas iela 59, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/320098155
220420-123,2022-04-20,40900030337,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,950.000,950.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-30,"","Tautas iela 59, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/320100546
220422-11,2022-04-22,90000069281,IEKŠĒJAIS AUDITORS,Valsts pārvalde,1073.000,1625.000,"","","",2022-05-23,"","Talejas iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320261065
220422-13,2022-04-22,90000069281,INFORMĀCIJAS TEHNOLOĢIJU ADMINISTRATORS,Valsts pārvalde,966.000,1300.000,"","","",2022-05-11,"","Talejas iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320261803
220422-15,2022-04-22,90000069281,INFORMĀCIJAS TEHNOLOĢIJU ADMINISTRATORS,Valsts pārvalde,966.000,1300.000,"","","",2022-05-11,"","Rīgas iela 4, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/320263205
220422-31,2022-04-22,90000069281,VECĀKAIS MUITAS UZRAUGS,Valsts pārvalde,745.000,929.000,"","","",2022-05-05,"","Talejas iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320269880
220422-44,2022-05-02,90000069281,GALVENAIS NODOKĻU INSPEKTORS,Valsts pārvalde,1126.000,1308.000,"","","",2022-05-05,"","Atmodas iela 19, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/320281515
