Vakances Nr,Aktualizācijas datums,Iestādes reģistrācijas numurs,Vakances nosaukums,Vakances kategorija,Alga no,Alga līdz,Slodzes tips,Darba laika veids,Darba stundas nedēļā,Pieteikšanās termiņš,Attēls,Vieta,Vakances paplašināts apraksts
220503-523,2022-05-03,90000099040,JURISTS,Bankas / Apdrošināšana / Finanses/Grāmatvedība,940.000,1287.000,"","","",2022-06-03,"","Čiekurkalna 1. līnija 1 k-4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321234867
220131-159,2022-04-01,90000027165,IESLODZĪJUMA VIETAS UZRAUGS,Valsts pārvalde,959.000,993.000,Viena vesela slodze,Summētais darba laiks,40,2022-06-30,"","Rīgas iela 10, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/315107339
220130-5,2022-04-28,40900035103,VECĀKAIS EKSPERTS,Valsts pārvalde,835.000,1368.500,Viena vesela slodze,Normālais darba laiks,"",2022-05-08,"","Smiltaiņi, Iecava, Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/315034234
220201-46,2022-04-01,90000027165,IESLODZĪJUMA VIETAS APSARGS,Valsts pārvalde,959.000,994.000,Viena vesela slodze,Summētais darba laiks,"",2022-06-30,"","Mazā Matīsa iela 5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/315154628
220201-48,2022-04-01,90000027165,IESLODZĪJUMA VIETAS UZRAUGS,Valsts pārvalde,959.000,993.000,Viena vesela slodze,Summētais darba laiks,"",2022-06-30,"","Mazā Matīsa iela 5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/315155542
220428-72,2022-04-28,90000027165,TULKS,Valsts pārvalde,770.000,1100.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-31,"","Mazā Matīsa iela 5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320749356
220201-62,2022-04-29,90000027165,IESLODZĪJUMA VIETAS UZRAUGS,Valsts pārvalde,959.000,994.000,Viena vesela slodze,Summētais darba laiks,"",2022-06-30,"","Līgatnes iela 6, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/315159050
220201-21,2022-04-01,90000027165,IESLODZĪJUMA VIETAS UZRAUGS,Valsts pārvalde,959.000,994.000,Viena vesela slodze,Summētais darba laiks,"",2022-06-30,"","Tvaikoņu iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/315137440
220201-27,2022-05-02,90000027165,IESLODZĪJUMA VIETAS UZRAUGS,Valsts pārvalde,959.000,994.000,Viena vesela slodze,Summētais darba laiks,"",2022-06-30,"","Palīdzības iela 3, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/315138959
220201-35,2022-05-02,90000027165,IESLODZĪJUMA VIETAS APSARGS,Valsts pārvalde,959.000,994.000,Viena vesela slodze,Summētais darba laiks,"",2022-06-30,"","Palīdzības iela 3, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/315147574
